user_id,age_group,primary_style,price_sensitivity,sustainability_focus,style_preferences,cf_preference,preference_consistency
U000000,45-54,Formal,Low,High,"{""colors"": [""Red"", ""Brown""], ""patterns"": [""Polka Dot"", ""Animal Print"", ""Solid""], ""materials"": [""Cotton"", ""Wool"", ""Silk""], ""brands"": [""Adidas"", ""Uniqlo""]}",0.42202594894489864,0.7434202060747188
U000001,18-24,Streetwear,High,Medium,"{""colors"": [""Brown"", ""Gray""], ""patterns"": [""Polka Dot"", ""Solid""], ""materials"": [""Denim"", ""Leather""], ""brands"": [""Uniqlo"", ""H&M"", ""Nike"", ""Adidas""]}",0.6093400016195127,0.9237297906464882
U000002,35-44,Streetwear,High,Medium,"{""colors"": [""Purple"", ""Red"", ""Brown"", ""Pink"", ""Gray""], ""patterns"": [""Solid""], ""materials"": [""Denim"", ""Polyester"", ""Cotton""], ""brands"": [""Gucci"", ""Zara""]}",0.7370624471345135,0.8088287062297169
U000003,25-34,Bohemian,Medium,Low,"{""colors"": [""Red"", ""Yellow"", ""Blue""], ""patterns"": [""Animal Print"", ""Striped"", ""Polka Dot""], ""materials"": [""Linen"", ""Polyester"", ""Cotton"", ""Denim""], ""brands"": [""Gucci"", ""Adidas"", ""Local Brand""]}",0.38502725871046506,0.9370576732364857
U000004,55+,Casual,Low,Low,"{""colors"": [""Green"", ""Gray""], ""patterns"": [""Solid"", ""Striped""], ""materials"": [""Wool"", ""Leather"", ""Linen""], ""brands"": [""Levi's"", ""Nike""]}",0.1831876336623708,0.9857998805116939
U000005,25-34,Bohemian,High,Low,"{""colors"": [""Gray"", ""White"", ""Red"", ""Yellow""], ""patterns"": [""Floral"", ""Solid""], ""materials"": [""Leather"", ""Cotton""], ""brands"": [""Local Brand"", ""Gucci"", ""Levi's"", ""Prada""]}",0.3958487239171105,0.9333915286901491
U000006,55+,Casual,Medium,Medium,"{""colors"": [""Purple"", ""Gray"", ""Black"", ""Brown"", ""Red""], ""patterns"": [""Solid"", ""Polka Dot"", ""Animal Print""], ""materials"": [""Wool"", ""Linen"", ""Cotton""], ""brands"": [""Prada"", ""Gucci"", ""Adidas""]}",0.5172011856774474,0.7079388269926846
U000007,35-44,Bohemian,Low,High,"{""colors"": [""Purple"", ""Brown"", ""Red""], ""patterns"": [""Polka Dot""], ""materials"": [""Wool"", ""Linen"", ""Leather""], ""brands"": [""Zara"", ""Gucci""]}",0.23768686782230083,0.8596058323148101
U000008,18-24,Vintage,Medium,High,"{""colors"": [""Pink"", ""White"", ""Blue"", ""Purple"", ""Red""], ""patterns"": [""Animal Print"", ""Solid""], ""materials"": [""Cotton"", ""Denim"", ""Polyester"", ""Wool""], ""brands"": [""Uniqlo"", ""Nike"", ""Local Brand"", ""Levi's""]}",0.3609346003331966,0.7359810112783298
U000009,35-44,Formal,High,High,"{""colors"": [""Black"", ""Purple"", ""Yellow"", ""White""], ""patterns"": [""Polka Dot"", ""Striped""], ""materials"": [""Cotton"", ""Polyester"", ""Denim""], ""brands"": [""Adidas"", ""Uniqlo"", ""Levi's""]}",0.8894641475907112,0.9452486468861814
U000010,18-24,Bohemian,Medium,Medium,"{""colors"": [""White"", ""Blue""], ""patterns"": [""Polka Dot""], ""materials"": [""Wool"", ""Silk"", ""Denim"", ""Cotton""], ""brands"": [""Nike"", ""Adidas"", ""Zara"", ""H&M""]}",0.28753554738436704,0.8644057968170162
